매장명,위도,경도,주소
수원성균관대,37.298935,126.971577,"경기도 수원시 장안구 서부로 2131, 1층 4,5,6호 2층1,2호 (율전동)"
수원정자사거리DT,37.2911959629684,127.004005026146,경기도 수원시 장안구 수성로 291 (정자동)
수원종합운동장,37.30131994,127.00879841,경기도 수원시 장안구 송원로 71 (송죽동)
수원경수인계DT,37.270568,127.027566,경기도 수원시 팔달구 경수대로 499 (인계동)
수원KBS DT,37.271122,127.035213,경기도 수원시 팔달구 권광로 265 (인계동)
수원인계DT,37.267938,127.027948,경기도 수원시 팔달구 인계로94번길 3 (인계동)
수원이비스,37.2592235,127.0313138,경기도 수원시 팔달구 권광로 132 (인계동)
수원매산,37.26748423,127.0028636,경기도 수원시 팔달구 매산로 11 (매산로1가)
동수원DT,37.2781099,127.03394960000003,경기도 수원시 팔달구 중부대로 161 (우만동)
수원인계,37.265499,127.032902,경기도 수원시 팔달구 권광로 199 (인계동)
아주대,37.279696,127.04334,경기도 수원시 팔달구 월드컵로 205 (우만동)
수원나혜석거리,37.264255680068,127.034163000188,경기도 수원시 팔달구 권광로188번길 17 (인계동)
수원역AK R,37.2656768667795,127.000096053009,경기도 수원시 팔달구 덕영대로 924 (매산로1가)
시흥대야DT,37.441713,126.787757,경기도 시흥시 뱀내장터로 27 (대야동)
배곧아브뉴프랑,37.3682,126.7294,경기도 시흥시 서울대학로278번길 34 (정왕동)
시흥대야동,37.441740,126.791869,경기도 시흥시 비둘기공원7길 51 (대야동)
배곧신도시,37.36926945415259,126.73036074295075,경기도 시흥시 서울대학로278번길 43-13 (정왕동)
시흥대야,37.443912,126.790755,경기도 시흥시 비둘기공원로 10 (대야동)
시흥P.아울렛 3F,37.379754,126.736396,경기도 시흥시 서해안로 699 (정왕동)
시흥P.아울렛 1F,37.379754,126.736396,경기도 시흥시 서해안로 699 (정왕동)
시화로데오,37.3446600926957,126.73732168870397,경기도 시흥시 중심상가2길 20-5 (정왕동)
시흥월곶,37.389462,126.73886,경기도 시흥시 월곶중앙로58번길 5-6 (월곶동)
시흥장현,37.3782498,126.7890783,경기도 시흥시 황고개로 530 (장곡동) 센터프라자
시흥능곡역,37.37064104024727,126.80749692444117,경기도 시흥시 장현능곡로 155 (능곡동)
시흥목감DT,37.377942490026804,126.85013978255686,경기도 시흥시 동서로 950 (조남동)
시흥은계,37.4375150988434,126.80163294672,경기도 시흥시 은계번영길 9 (은행동)
안산고잔센트럴타워,37.318914,126.834241,경기도 안산시 단원구 고잔로 72 (고잔동)
안산상공회의소,37.318868,126.826297,경기도 안산시 단원구 적금로 120 (고잔동)
고잔이마트,37.303177,126.812842,경기도 안산시 단원구 원포공원1로 46 (초지동) 이마트
안산문화광장,37.310298,126.830517,"경기도 안산시 단원구 광덕대로 154, ,771-4 로데오타운1층 (고잔동)"
안산중앙,37.318899,126.837464,"경기도 안산시 단원구 고잔로 102, 스타타워 1층 (고잔동)"
안산중앙역,37.31723608,126.8374694,경기도 안산시 단원구 중앙대로 907 (고잔동)
안산트레이더스,37.331038,126.784837,경기도 안산시 단원구 중앙대로 397 (신길동)
안성석정DT,37.010522,127.262009,경기도 안성시 중앙로 308 (석정동)
안성공도DT,37.009411,127.200801,경기도 안성시 공도읍 서동대로 4489 
안성서동대로DT,37.0048167672848,127.182089433237,경기도 안성시 공도읍 서동대로 4314 서동대로 4314
안성계동DT,36.98583,127.26733,경기도 안성시 안성맞춤대로 805 (계동)
스타필드안성R,36.994866,127.147379,경기도 안성시 공도읍 서동대로 3930-39 
호계지식산업센터,37.372351,126.948665,경기도 안양시 동안구 엘에스로 122 (호계동) 118~123호
평촌역DT,37.396509,126.971235,경기도 안양시 동안구 시민대로 373 (관양동)
안양범계,37.391719,126.953751,경기도 안양시 동안구 시민대로 206 (호계동)
안양운동장사거리DT,37.40111,126.949208,경기도 안양시 동안구 관악대로 234 (비산동)
범계역,37.389849,126.949818,경기도 안양시 동안구 시민대로 180 (호계동)
안양호계DT,37.366561,126.956011,경기도 안양시 동안구 엘에스로 23-8 (호계동)
평촌호계,37.383006,126.959848,경기도 안양시 동안구 평촌대로 123 (호계동)
